"Step","Unet-Mobilenet - val_loss","Unet-Mobilenet - val_loss__MIN","Unet-Mobilenet - val_loss__MAX"
"0","0.002179059898480773","0.002179059898480773","0.002179059898480773"
"1","0.0009895135881379247","0.0009895135881379247","0.0009895135881379247"
"2","0.0007042769575491548","0.0007042769575491548","0.0007042769575491548"
"3","0.0007432744605466723","0.0007432744605466723","0.0007432744605466723"
"4","0.0005432869074866176","0.0005432869074866176","0.0005432869074866176"
"5","0.0005069798207841814","0.0005069798207841814","0.0005069798207841814"
"6","0.00048438223893754184","0.00048438223893754184","0.00048438223893754184"
"7","0.0004564090049825609","0.0004564090049825609","0.0004564090049825609"
"8","0.0003715505008585751","0.0003715505008585751","0.0003715505008585751"
"9","0.0004202999407425523","0.0004202999407425523","0.0004202999407425523"
"10","0.00028725151787512004","0.00028725151787512004","0.00028725151787512004"
"11","0.00029196072136983275","0.00029196072136983275","0.00029196072136983275"
"12","0.00026777450693771243","0.00026777450693771243","0.00026777450693771243"
"13","0.0002880880201701075","0.0002880880201701075","0.0002880880201701075"
"14","0.00026058839284814894","0.00026058839284814894","0.00026058839284814894"
