"Step","ASPOCRNET-Xception - val_loss","ASPOCRNET-Xception - val_loss__MIN","ASPOCRNET-Xception - val_loss__MAX"
"0","6.937592029571533","6.937592029571533","6.937592029571533"
"1","1.5294629335403442","1.5294629335403442","1.5294629335403442"
"2","0.2723463475704193","0.2723463475704193","0.2723463475704193"
"3","0.2521250545978546","0.2521250545978546","0.2521250545978546"
"4","0.6444057822227478","0.6444057822227478","0.6444057822227478"
"5","0.08816676586866379","0.08816676586866379","0.08816676586866379"
"6","0.0784846618771553","0.0784846618771553","0.0784846618771553"
"7","0.08345453441143036","0.08345453441143036","0.08345453441143036"
"8","0.03913147747516632","0.03913147747516632","0.03913147747516632"
"9","0.030946195125579834","0.030946195125579834","0.030946195125579834"
"10","0.29557040333747864","0.29557040333747864","0.29557040333747864"
"11","0.02208411879837513","0.02208411879837513","0.02208411879837513"
"12","0.020465819165110588","0.020465819165110588","0.020465819165110588"
"13","0.014588823541998863","0.014588823541998863","0.014588823541998863"
"14","0.11038123816251755","0.11038123816251755","0.11038123816251755"
