"Step","UNet-Seresnet - val_loss","UNet-Seresnet - val_loss__MIN","UNet-Seresnet - val_loss__MAX"
"0","0.002337114652618766","0.002337114652618766","0.002337114652618766"
"1","0.0006221001385711133","0.0006221001385711133","0.0006221001385711133"
"2","0.0004554633342195302","0.0004554633342195302","0.0004554633342195302"
"3","0.0004186550504527986","0.0004186550504527986","0.0004186550504527986"
"4","0.00034261567634530365","0.00034261567634530365","0.00034261567634530365"
"5","0.0003175294550601393","0.0003175294550601393","0.0003175294550601393"
"6","0.0003002961166203022","0.0003002961166203022","0.0003002961166203022"
"7","0.00031990621937438846","0.00031990621937438846","0.00031990621937438846"
"8","0.0004358307342045009","0.0004358307342045009","0.0004358307342045009"
"9","0.00034761850838549435","0.00034761850838549435","0.00034761850838549435"
"10","0.0003431574732530862","0.0003431574732530862","0.0003431574732530862"
"11","0.0003038825234398246","0.0003038825234398246","0.0003038825234398246"
"12","0.0005052463966421783","0.0005052463966421783","0.0005052463966421783"
"13","0.00029680898296646774","0.00029680898296646774","0.00029680898296646774"
"14","0.00039964279858395457","0.00039964279858395457","0.00039964279858395457"
