"Step","Unet-Resnet - val_loss","Unet-Resnet - val_loss__MIN","Unet-Resnet - val_loss__MAX"
"0","0.0016466685337945819","0.0016466685337945819","0.0016466685337945819"
"1","0.000999692128971219","0.000999692128971219","0.000999692128971219"
"2","0.0005766114918515086","0.0005766114918515086","0.0005766114918515086"
"3","0.0005165284383110702","0.0005165284383110702","0.0005165284383110702"
"4","0.00035659907734952867","0.00035659907734952867","0.00035659907734952867"
"5","0.0002978128904942423","0.0002978128904942423","0.0002978128904942423"
"6","0.0003209757851436734","0.0003209757851436734","0.0003209757851436734"
"7","0.00028651583124883473","0.00028651583124883473","0.00028651583124883473"
"8","0.00029147605528123677","0.00029147605528123677","0.00029147605528123677"
"9","0.0002350596187170595","0.0002350596187170595","0.0002350596187170595"
"10","0.0003014216781593859","0.0003014216781593859","0.0003014216781593859"
"11","0.00025401500170119107","0.00025401500170119107","0.00025401500170119107"
"12","0.0002522289869375527","0.0002522289869375527","0.0002522289869375527"
"13","0.00021838086831849068","0.00021838086831849068","0.00021838086831849068"
"14","0.00022744799207430333","0.00022744799207430333","0.00022744799207430333"
